what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688656186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688658092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688658914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688660444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688673122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688676562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332688700757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688701483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688703417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332688720571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688729715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688729968
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1332688732136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688732138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688732364
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1332688732581
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1332688732733
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1332688732794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688734507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688747980
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332688752444
closed,editor,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.productEditor",1332688752444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1332688752462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688757324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688759380
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1332688759410
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332688759410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688760403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688786442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1332688786530
opened,editor,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.manifestEditor",1332688787659
activated,editor,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.manifestEditor",1332688787760
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1332688793607
closed,editor,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.manifestEditor",1332688793607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1332688793622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688797580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332688802422
